Место,Раздел,Канал,Хэндл,Ссылка,Автор,Подписчики (примерно),Экспертиза,Практичность,Уникальность,Регулярность,Влияние,Меньше рекламы,Подача,Итог,Уровень,Что искать внутри
1,V. Контент-маркетинг и копирайтинг,Главред,@glvrdru,https://t.me/glvrdru,Максим Ильяхов,≈67 тыс.,10,9,9,8,9,8,10,9.2,A,"Редактура, инфостиль, чистка текстов. Эталон подачи — must-read для всех, кто пишет."
2,I. Общий маркетинг и стратегия,Психология маркетинга,@marketpsy,https://t.me/marketpsy,Николай Молчанов,≈178 тыс.,10,9,9,9,9,7,9,9.1,A,"Психология потребителя на цифрах, разборы исследований. Фундамент для офферов, креативов и понимания ЦА."
3,VIII. Product и growth-маркетинг,Go Practice!,@gopractice,https://t.me/gopractice,Олег Якубенков,н/д,10,9,9,7,8,9,9,8.9,A,"Метрики, юнит-экономика, CustDev. Практический учебник продуктового маркетинга."
4,IX. SEO,"АлаичЪ про SEO, бизнес и …",@alaevseo,https://t.me/alaevseo,Александр Алаев,≈5.1 тыс.,10,9,9,8,8,8,8,8.8,A,"SEO и внутренняя кухня студии: честные эксперименты и выводы, а не пересказы."
5,III. SMM и соцсети,DNative,@dnative,https://t.me/dnative,Алексей Ткачук,≈75 тыс.,9,9,9,9,8,7,8,8.6,A,"Обзоры обновлений соцсетей, гайды по SMM, кейсы запусков. Эталонная регулярность."
6,IX. SEO,Devaka Talk — Белое SEO,@devakatalk,https://t.me/devakatalk,Сергей Кокшаров,н/д,10,8,8,8,8,8,8,8.5,A,"SEO-новости, хаки, разборы сложных кейсов. Техническая глубина."
7,XI. PR и коммуникации,Беспощадный пиарщик,@prbezposhady,https://t.me/prbezposhady,—,≈148 тыс.,9,8,9,9,9,6,8,8.4,A,"Острый разбор инфоповодов, медиа и коммьюнити. Один из самых цитируемых каналов отрасли."
8,"II. Перформанс: контекст, таргет, трафик",Умный таргетолог,@target_nata,https://t.me/target_nata,Наталья Гриценко,≈47 тыс.,9,9,8,9,7,7,8,8.4,A,"Таргет по-человечески: чек-листы, экономика кампаний, разбор ошибок. Практика без инфошума."
9,IX. SEO,SEO канал Михаила Шакина,@shakinru,https://t.me/shakinru,Михаил Шакин,н/д,10,8,8,7,7,8,8,8.3,A,"Продвижение сайтов, ссылки, контент — методично и по делу."
10,VIII. Product и growth-маркетинг,Epic Growth,@epicgrowth,https://t.me/epicgrowth,команда Epic Growth,н/д,9,8,8,7,7,8,8,8.1,A,"Рост IT-продуктов, продакт-менеджмент и growth-маркетинг: кейсы, интервью, фреймворки."
11,I. Общий маркетинг и стратегия,Маша и маркетинг,@masha_pro_marketing,https://t.me/masha_pro_marketing,Мария Полуянова,≈70 тыс.,8,9,8,8,7,8,8,8.1,A,"Рост в Telegram: воронки, прогревы, контент-планы. База знаний в закрепе, живые дайджесты."
12,"II. Перформанс: контекст, таргет, трафик",Яндекс Реклама ПРО,@yndx_ed,https://t.me/yndx_ed,Яндекс,≈57 тыс.,8,8,7,9,8,9,8,8.1,A,"Официальный канал: обновления Директа, стратегии, обучение от экспертов платформы. Без рекламы."
